trial_nb_pe,prolific_id,RT.pe_task,id,prob,pe_task,utt.standardized,slider,uc_task,custom_response,RT.uc_task,cost.uc,trial_nb_uc,human_exp2,pe_task.smooth,education,gender,age,timeSpent
10,5ee454ad40c72e152991826e,13934,independent_hh,none,0,neither block falls,none,NA,NA,NA,NA,NA,NA,9.99996000016e-7,Higher Degree,male,48,22.705416666666668
10,5ee454ad40c72e152991826e,13934,independent_hh,p_a,0.6799999999999999,blue falls,NA,NA,NA,NA,NA,NA,NA,0.67999928000288,Higher Degree,male,48,22.705416666666668
10,5ee454ad40c72e152991826e,13934,independent_hh,p_c,0.9299999999999999,green falls,NA,NA,NA,NA,NA,NA,NA,0.92999828000688,Higher Degree,male,48,22.705416666666668
10,5ee454ad40c72e152991826e,13934,independent_hh,p_na,0.32,blue does not fall,NA,NA,NA,NA,NA,NA,NA,0.32000071999712004,Higher Degree,male,48,22.705416666666668
10,5ee454ad40c72e152991826e,13934,independent_hh,p_nc,0.07,green does not fall,NA,NA,NA,NA,NA,NA,NA,0.07000171999312005,Higher Degree,male,48,22.705416666666668
10,5ee454ad40c72e152991826e,13934,independent_hh,p_c_given_a,0.8970588235294118,if blue falls green falls,NA,NA,NA,NA,NA,NA,NA,0.8970576557127774,Higher Degree,male,48,22.705416666666668
10,5ee454ad40c72e152991826e,13934,independent_hh,p_c_given_na,1,if blue does not fall green falls,NA,NA,NA,NA,NA,NA,NA,0.9999968750195312,Higher Degree,male,48,22.705416666666668
10,5ee454ad40c72e152991826e,13934,independent_hh,p_a_given_c,0.6559139784946237,if green falls blue falls,NA,NA,NA,NA,NA,NA,NA,0.6559136431964663,Higher Degree,male,48,22.705416666666668
10,5ee454ad40c72e152991826e,13934,independent_hh,p_a_given_nc,1,if green does not fall blue falls,NA,NA,NA,NA,NA,NA,NA,0.9999857146938659,Higher Degree,male,48,22.705416666666668
10,5ee454ad40c72e152991826e,13934,independent_hh,p_nc_given_a,0.10294117647058826,if blue falls green does not fall,NA,NA,NA,NA,NA,NA,NA,0.10294234428722271,Higher Degree,male,48,22.705416666666668
10,5ee454ad40c72e152991826e,13934,independent_hh,p_nc_given_na,0,if blue does not fall green does not fall,NA,NA,NA,NA,NA,NA,NA,3.1249804688720696e-6,Higher Degree,male,48,22.705416666666668
10,5ee454ad40c72e152991826e,13934,independent_hh,p_na_given_c,0.34408602150537637,if green falls blue does not fall,NA,NA,NA,NA,NA,NA,NA,0.3440863568035338,Higher Degree,male,48,22.705416666666668
10,5ee454ad40c72e152991826e,13934,independent_hh,p_na_given_nc,0,if green does not fall blue does not fall,NA,NA,NA,NA,NA,NA,NA,1.4285306134110452e-5,Higher Degree,male,48,22.705416666666668
10,5ee454ad40c72e152991826e,13934,independent_hh,p_likely_a,0.6799999999999999,blue might fall,NA,NA,NA,NA,NA,NA,NA,0.67999928000288,Higher Degree,male,48,22.705416666666668
10,5ee454ad40c72e152991826e,13934,independent_hh,p_likely_na,0.32,blue might not fall,NA,NA,NA,NA,NA,NA,NA,0.32000071999712004,Higher Degree,male,48,22.705416666666668
10,5ee454ad40c72e152991826e,13934,independent_hh,p_likely_c,0.9299999999999999,green might fall,NA,NA,NA,NA,NA,NA,NA,0.92999828000688,Higher Degree,male,48,22.705416666666668
10,5ee454ad40c72e152991826e,13934,independent_hh,p_likely_nc,0.07,green might not fall,NA,NA,NA,NA,NA,NA,NA,0.07000171999312005,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,b,0.39,blue falls but green does not fall,b,NA,NA,NA,NA,NA,NA,0.3861380747006943,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,g,0.17,green falls but blue does not fall,g,NA,NA,NA,NA,NA,NA,0.16831715517958348,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,bg,0.06,both blocks fall,bg,NA,NA,NA,NA,NA,NA,0.05940669541902805,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,none,0.39,neither block falls,none,NA,NA,NA,NA,NA,NA,0.3861380747006943,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,p_a,0.45,blue falls,NA,NA,NA,NA,NA,NA,NA,0.4455447701197223,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,p_c,0.23,green falls,NA,NA,NA,NA,NA,NA,NA,0.22772385059861153,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,p_na,0.56,blue does not fall,NA,NA,NA,NA,NA,NA,NA,0.5544552298802777,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,p_nc,0.78,green does not fall,NA,NA,NA,NA,NA,NA,NA,0.7722761494013886,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,p_c_given_a,0.13333333333333333,if blue falls green falls,NA,NA,NA,NA,NA,NA,NA,0.1333349629557202,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,p_c_given_na,0.30357142857142855,if blue does not fall green falls,NA,NA,NA,NA,NA,NA,NA,0.30357213009953543,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,p_a_given_c,0.2608695652173913,if green falls blue falls,NA,NA,NA,NA,NA,NA,NA,0.2608716445943948,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,p_a_given_nc,0.5,if green does not fall blue falls,NA,NA,NA,NA,NA,NA,NA,0.5,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,p_nc_given_a,0.8666666666666667,if blue falls green does not fall,NA,NA,NA,NA,NA,NA,NA,0.8666650370442798,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,p_nc_given_na,0.6964285714285714,if blue does not fall green does not fall,NA,NA,NA,NA,NA,NA,NA,0.6964278699004647,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,p_na_given_c,0.7391304347826088,if green falls blue does not fall,NA,NA,NA,NA,NA,NA,NA,0.7391283554056052,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,p_na_given_nc,0.5,if green does not fall blue does not fall,NA,NA,NA,NA,NA,NA,NA,0.5,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,p_likely_a,0.45,blue might fall,NA,the blue block might fall,NA,9420,3,13,1,0.4455447701197223,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,p_likely_na,0.56,blue might not fall,NA,NA,NA,NA,NA,NA,NA,0.5544552298802777,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,p_likely_c,0.23,green might fall,NA,NA,NA,NA,NA,NA,NA,0.22772385059861153,Higher Degree,male,48,22.705416666666668
12,5ee454ad40c72e152991826e,27182,if2_ul,p_likely_nc,0.78,green might not fall,NA,NA,NA,NA,NA,NA,NA,0.7722761494013886,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,b,0.44,blue falls but green does not fall,b,the blue block falls but the green block does not,NA,13044,5,15,1,0.43999924000304,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,g,0.11,green falls but blue does not fall,g,NA,NA,NA,NA,NA,NA,0.11000055999776003,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,bg,0.42,both blocks fall,bg,NA,NA,NA,NA,NA,NA,0.41999932000272,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,none,0.03,neither block falls,none,NA,NA,NA,NA,NA,NA,0.030000879996480018,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,p_a,0.86,blue falls,NA,NA,NA,NA,NA,NA,NA,0.85999856000576,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,p_c,0.53,green falls,NA,NA,NA,NA,NA,NA,NA,0.52999988000048,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,p_na,0.14,blue does not fall,NA,NA,NA,NA,NA,NA,NA,0.14000143999424003,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,p_nc,0.47,green does not fall,NA,NA,NA,NA,NA,NA,NA,0.47000011999952007,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,p_c_given_a,0.4883720930232558,if blue falls green falls,NA,NA,NA,NA,NA,NA,NA,0.48837212006483705,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,p_c_given_na,0.7857142857142857,if blue does not fall green falls,NA,NA,NA,NA,NA,NA,NA,0.785710204139941,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,p_a_given_c,0.7924528301886792,if green falls blue falls,NA,NA,NA,NA,NA,NA,NA,0.792451726597258,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,p_a_given_nc,0.9361702127659575,if green does not fall blue falls,NA,NA,NA,NA,NA,NA,NA,0.9361683567303969,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,p_nc_given_a,0.5116279069767442,if blue falls green does not fall,NA,NA,NA,NA,NA,NA,NA,0.511627879935163,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,p_nc_given_na,0.21428571428571425,if blue does not fall green does not fall,NA,NA,NA,NA,NA,NA,NA,0.21428979586005917,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,p_na_given_c,0.20754716981132074,if green falls blue does not fall,NA,NA,NA,NA,NA,NA,NA,0.2075482734027419,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,p_na_given_nc,0.06382978723404255,if green does not fall blue does not fall,NA,NA,NA,NA,NA,NA,NA,0.06383164326960311,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,p_likely_a,0.86,blue might fall,NA,NA,NA,NA,NA,NA,NA,0.85999856000576,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,p_likely_na,0.14,blue might not fall,NA,NA,NA,NA,NA,NA,NA,0.14000143999424003,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,p_likely_c,0.53,green might fall,NA,NA,NA,NA,NA,NA,NA,0.52999988000048,Higher Degree,male,48,22.705416666666668
14,5ee454ad40c72e152991826e,14013,independent_hl,p_likely_nc,0.47,green might not fall,NA,NA,NA,NA,NA,NA,NA,0.47000011999952007,Higher Degree,male,48,22.705416666666668
16,5ee454ad40c72e152991826e,16542,if2_ll,b,0.14,blue falls but green does not fall,b,NA,NA,NA,NA,NA,NA,0.14000043999824,Higher Degree,male,48,22.705416666666668
16,5ee454ad40c72e152991826e,16542,if2_ll,g,0,green falls but blue does not fall,g,NA,NA,NA,NA,NA,NA,9.999960000159999e-7,Higher Degree,male,48,22.705416666666668
